
======== FAMILY_NAME ========           ======== FAMILY_CODE ========
Elastos.Core.Exceptions                             0x20
Elastos.Core.Errors                                 0x21
Elastos.IO.Exceptions                               0x22
Elastos.IO.Errors                                   0x23
Elastos.Utility.Zip.Exceptions                      0x24
Elastos.Utility.Zip.Errors                          0x25
Elastos.Utility.Concurrent.Exceptions               0x26
Elastos.Utility.Exceptions                          0x27
Elastos.SQL.Exceptions                              0x28
//Elastos.Math.Exceptions                             0x29
Libcore.IO.Exceptions                               0x2A
Elastos.Net.Exceptions                              0x2B
Elastos.Security.Exceptions                         0x2C
Elastos.Text.Exceptions                             0x2D
Elastosx.Crypto.Exceptions                          0x30
Org.Xmlpull.V1.Exceptions                           0x40
Org.Xml.Sax.Exceptions                              0x41
Org.Json.Exceptions                                 0x42
Eunit.Framework.Errors                              0x50
Elastos.Droid.Content.Exceptions                    0x60
Elastos.Droid.App.Exceptions                        0x61
Elastos.Droid.View.Exceptions                       0x62
Elastos.Droid.Os.Exceptions                         0x66
Elastos.Droid.Server.Exceptions                     0x70
